latitude;longitude;heat_capacity_J_per_K
-51.0;99.0;1.185465272e+21
-51.0;105.0;1.185465272e+21
-51.0;111.0;1.185465272e+21
-51.0;117.0;1.185465272e+21
-51.0;123.0;1.185465272e+21
-51.0;129.0;1.185465272e+21
-51.0;135.0;1.185465272e+21
-51.0;141.0;1.185465272e+21
-51.0;147.0;1.185465272e+21
-51.0;153.0;1.185465272e+21
-51.0;159.0;1.185465272e+21
-51.0;165.0;1.183185008016e+21
-51.0;171.0;1.185465272e+21
-51.0;177.0;1.185465272e+21
-45.0;-177.0;1.1820448760239998e+21
-45.0;-171.0;1.185465272e+21
-45.0;-165.0;1.185465272e+21
-45.0;-159.0;1.185465272e+21
-45.0;-153.0;1.185465272e+21
-45.0;-147.0;1.185465272e+21
-45.0;-141.0;1.185465272e+21
-45.0;-135.0;1.185465272e+21
-45.0;-129.0;1.185465272e+21
-45.0;-123.0;1.185465272e+21
-45.0;-117.0;1.185465272e+21
-45.0;-111.0;1.185465272e+21
-45.0;-105.0;1.185465272e+21
-45.0;-99.0;1.185465272e+21
-45.0;-93.0;1.185465272e+21
-45.0;-87.0;1.185465272e+21
-45.0;-81.0;1.185465272e+21
-45.0;-75.0;8.17202638584e+20
-45.0;-69.0;1.34263575376e+20
-45.0;-63.0;1.0771527327599999e+21
-45.0;-57.0;1.185465272e+21
-45.0;-51.0;1.185465272e+21
-45.0;-45.0;1.185465272e+21
-45.0;-39.0;1.185465272e+21
-45.0;-33.0;1.185465272e+21
-45.0;-27.0;1.185465272e+21
-45.0;-21.0;1.185465272e+21
-45.0;-15.0;1.185465272e+21
-45.0;-9.0;1.185465272e+21
-45.0;-3.0;1.185465272e+21
-45.0;3.0;1.185465272e+21
-45.0;9.0;1.185465272e+21
-45.0;15.0;1.185465272e+21
-45.0;21.0;1.185465272e+21
-45.0;27.0;1.185465272e+21
-45.0;33.0;1.185465272e+21
-45.0;39.0;1.184325140008e+21
-45.0;45.0;1.185465272e+21
-45.0;51.0;1.184325140008e+21
-45.0;57.0;1.185465272e+21
-45.0;63.0;1.185465272e+21
-45.0;69.0;1.185465272e+21
-45.0;75.0;1.185465272e+21
-45.0;81.0;1.185465272e+21
-45.0;87.0;1.185465272e+21
-45.0;93.0;1.185465272e+21
-45.0;99.0;1.185465272e+21
-45.0;105.0;1.185465272e+21
-45.0;111.0;1.185465272e+21
-45.0;117.0;1.185465272e+21
-45.0;123.0;1.185465272e+21
-45.0;129.0;1.185465272e+21
-45.0;135.0;1.185465272e+21
-45.0;141.0;1.185465272e+21
-45.0;147.0;1.0782928647519999e+21
-45.0;153.0;1.185465272e+21
-45.0;159.0;1.185465272e+21
-45.0;165.0;1.125038276424e+21
-45.0;171.0;7.875592067919999e+20
-45.0;177.0;1.185465272e+21
-39.0;-177.0;1.185465272e+21
-39.0;-171.0;1.185465272e+21
-39.0;-165.0;1.185465272e+21
-39.0;-159.0;1.185465272e+21
-39.0;-153.0;1.185465272e+21
-39.0;-147.0;1.185465272e+21
-39.0;-141.0;1.185465272e+21
-39.0;-135.0;1.185465272e+21
-39.0;-129.0;1.185465272e+21
-39.0;-123.0;1.185465272e+21
-39.0;-117.0;1.185465272e+21
-39.0;-111.0;1.185465272e+21
-39.0;-105.0;1.185465272e+21
-39.0;-99.0;1.185465272e+21
-39.0;-93.0;1.185465272e+21
-39.0;-87.0;1.185465272e+21
-39.0;-81.0;1.185465272e+21
-39.0;-75.0;9.2323491384e+20
-39.0;-69.0;4.8753675976e+19
-39.0;-63.0;3.4860838987200004e+20
-39.0;-57.0;9.505980816480001e+20
-39.0;-51.0;1.185465272e+21
-39.0;-45.0;1.185465272e+21
-39.0;-39.0;1.185465272e+21
-39.0;-33.0;1.185465272e+21
-39.0;-27.0;1.185465272e+21
-39.0;-21.0;1.185465272e+21
-39.0;-15.0;1.185465272e+21
-39.0;-9.0;1.185465272e+21
-39.0;-3.0;1.185465272e+21
-39.0;3.0;1.185465272e+21
-39.0;9.0;1.185465272e+21
-39.0;15.0;1.185465272e+21
-39.0;21.0;1.185465272e+21
-39.0;27.0;1.185465272e+21
-39.0;33.0;1.185465272e+21
-39.0;39.0;1.185465272e+21
-39.0;45.0;1.185465272e+21
-39.0;51.0;1.185465272e+21
-39.0;57.0;1.185465272e+21
-39.0;63.0;1.185465272e+21
-39.0;69.0;1.185465272e+21
-39.0;75.0;1.185465272e+21
-39.0;81.0;1.185465272e+21
-39.0;87.0;1.185465272e+21
-39.0;93.0;1.185465272e+21
-39.0;99.0;1.185465272e+21
-39.0;105.0;1.185465272e+21
-39.0;111.0;1.185465272e+21
-39.0;117.0;1.185465272e+21
-39.0;123.0;1.185465272e+21
-39.0;129.0;1.185465272e+21
-39.0;135.0;1.184325140008e+21
-39.0;141.0;8.787697661519998e+20
-39.0;147.0;6.450427077919999e+20
-39.0;153.0;1.183185008016e+21
-39.0;159.0;1.185465272e+21
-39.0;165.0;1.185465272e+21
-39.0;171.0;1.11135669252e+21
-39.0;177.0;8.45705938384e+20
-33.0;-177.0;1.185465272e+21
-33.0;-171.0;1.185465272e+21
-33.0;-165.0;1.185465272e+21
-33.0;-159.0;1.185465272e+21
-33.0;-153.0;1.185465272e+21
-33.0;-147.0;1.185465272e+21
-33.0;-141.0;1.185465272e+21
-33.0;-135.0;1.185465272e+21
-33.0;-129.0;1.185465272e+21
-33.0;-123.0;1.185465272e+21
-33.0;-117.0;1.185465272e+21
-33.0;-111.0;1.185465272e+21
-33.0;-105.0;1.185465272e+21
-33.0;-99.0;1.185465272e+21
-33.0;-93.0;1.185465272e+21
-33.0;-87.0;1.185465272e+21
-33.0;-81.0;1.185465272e+21
-33.0;-75.0;1.16836329212e+21
-33.0;-69.0;9.7779351632e+19
-33.0;-63.0;5.5594467928e+19
-33.0;-57.0;2.0153136290399997e+20
-33.0;-51.0;9.38056629736e+20
-33.0;-45.0;1.185465272e+21
-33.0;-39.0;1.185465272e+21
-33.0;-33.0;1.185465272e+21
-33.0;-27.0;1.185465272e+21
-33.0;-21.0;1.185465272e+21
-33.0;-15.0;1.185465272e+21
-33.0;-9.0;1.185465272e+21
-33.0;-3.0;1.185465272e+21
-33.0;3.0;1.185465272e+21
-33.0;9.0;1.185465272e+21
-33.0;15.0;1.16266263216e+21
-33.0;21.0;3.88513009592e+20
-33.0;27.0;5.732143922959999e+20
-33.0;33.0;1.1638027641519998e+21
-33.0;39.0;1.185465272e+21
-33.0;45.0;1.185465272e+21
-33.0;51.0;1.185465272e+21
-33.0;57.0;1.185465272e+21
-33.0;63.0;1.185465272e+21
-33.0;69.0;1.185465272e+21
-33.0;75.0;1.185465272e+21
-33.0;81.0;1.185465272e+21
-33.0;87.0;1.185465272e+21
-33.0;93.0;1.185465272e+21
-33.0;99.0;1.185465272e+21
-33.0;105.0;1.185465272e+21
-33.0;111.0;1.185465272e+21
-33.0;117.0;4.96825548832e+20
-33.0;123.0;5.162077926959999e+20
