latitude;longitude;heat_capacity_J_per_K
-27.0;-75.0;5.92732636e+18
-27.0;-69.0;2.9438865366e+18
-27.0;-63.0;2.266664e+18
-27.0;-57.0;2.31059194832e+18
-27.0;-51.0;2.69130083376e+18
-27.0;-45.0;5.83947046336e+18
-27.0;-39.0;5.92732636e+18
-27.0;-33.0;5.92732636e+18
-27.0;-27.0;5.92732636e+18
-27.0;-21.0;5.92732636e+18
-27.0;-15.0;5.92732636e+18
-27.0;-9.0;5.92732636e+18
-27.0;-3.0;5.92732636e+18
-27.0;3.0;5.92732636e+18
-27.0;9.0;5.92732636e+18
-27.0;15.0;4.43011545476e+18
-27.0;21.0;2.266664e+18
-27.0;27.0;2.28130664944e+18
-27.0;33.0;4.16288710248e+18
-27.0;39.0;5.92732636e+18
-27.0;45.0;5.47706488972e+18
-27.0;51.0;5.92732636e+18
-27.0;57.0;5.92732636e+18
-27.0;63.0;5.92732636e+18
-27.0;69.0;5.92732636e+18
-27.0;75.0;5.92732636e+18
-27.0;81.0;5.92732636e+18
-27.0;87.0;5.92732636e+18
-27.0;93.0;5.92732636e+18
-27.0;99.0;5.92732636e+18
-27.0;105.0;5.92732636e+18
-27.0;111.0;5.82116715156e+18
-27.0;117.0;2.43505446856e+18
-27.0;123.0;2.266664e+18
-27.0;129.0;2.266664e+18
-27.0;135.0;2.266664e+18
-27.0;141.0;2.266664e+18
-27.0;147.0;2.266664e+18
-27.0;153.0;4.04940656932e+18
-27.0;159.0;5.92732636e+18
-27.0;165.0;5.92732636e+18
-27.0;171.0;5.92732636e+18
-27.0;177.0;5.92732636e+18
-21.0;-177.0;5.92000503528e+18
-21.0;-171.0;5.92366569764e+18
-21.0;-165.0;5.92732636e+18
-21.0;-159.0;5.92732636e+18
-21.0;-153.0;5.92732636e+18
-21.0;-147.0;5.92732636e+18
-21.0;-141.0;5.92732636e+18
-21.0;-135.0;5.92732636e+18
-21.0;-129.0;5.92732636e+18
-21.0;-123.0;5.92732636e+18
-21.0;-117.0;5.92732636e+18
-21.0;-111.0;5.92732636e+18
-21.0;-105.0;5.92732636e+18
-21.0;-99.0;5.92732636e+18
-21.0;-93.0;5.92732636e+18
-21.0;-87.0;5.92732636e+18
-21.0;-81.0;5.92732636e+18
-21.0;-75.0;5.92732636e+18
-21.0;-69.0;3.33557740912e+18
-21.0;-63.0;2.266664e+18
-21.0;-57.0;2.266664e+18
-21.0;-51.0;2.27398532472e+18
-21.0;-45.0;2.62174824892e+18
-21.0;-39.0;5.17322991384e+18
-21.0;-33.0;5.92732636e+18
-21.0;-27.0;5.92732636e+18
-21.0;-21.0;5.92732636e+18
-21.0;-15.0;5.92732636e+18
-21.0;-9.0;5.92732636e+18
-21.0;-3.0;5.92732636e+18
-21.0;3.0;5.92732636e+18
-21.0;9.0;5.92366569764e+18
-21.0;15.0;3.18182959e+18
-21.0;21.0;2.266664e+18
-21.0;27.0;2.266664e+18
-21.0;33.0;2.64005156072e+18
-21.0;39.0;5.86875576224e+18
-21.0;45.0;3.45271860464e+18
-21.0;51.0;5.60518807232e+18
-21.0;57.0;5.88705907404e+18
-21.0;63.0;5.92732636e+18
-21.0;69.0;5.92732636e+18
-21.0;75.0;5.92732636e+18
-21.0;81.0;5.92732636e+18
-21.0;87.0;5.92732636e+18
-21.0;93.0;5.92732636e+18
-21.0;99.0;5.92732636e+18
-21.0;105.0;5.92732636e+18
-21.0;111.0;5.87607708696e+18
-21.0;117.0;4.0237819328e+18
-21.0;123.0;2.57049897588e+18
-21.0;129.0;2.266664e+18
-21.0;135.0;2.266664e+18
-21.0;141.0;2.266664e+18
-21.0;147.0;3.13058031696e+18
-21.0;153.0;5.77357854088e+18
-21.0;159.0;5.92732636e+18
-21.0;165.0;5.7625965538e+18
-21.0;171.0;5.9090230482e+18
-21.0;177.0;5.89438039876e+18
-15.0;-177.0;5.92000503528e+18
-15.0;-171.0;5.90170172348e+18
-15.0;-165.0;5.92732636e+18
-15.0;-159.0;5.92732636e+18
-15.0;-153.0;5.92366569764e+18
-15.0;-147.0;5.91634437292e+18
-15.0;-141.0;5.92732636e+18
-15.0;-135.0;5.92732636e+18
-15.0;-129.0;5.92732636e+18
-15.0;-123.0;5.92732636e+18
-15.0;-117.0;5.92732636e+18
-15.0;-111.0;5.92732636e+18
-15.0;-105.0;5.92732636e+18
-15.0;-99.0;5.92732636e+18
-15.0;-93.0;5.92732636e+18
-15.0;-87.0;5.92732636e+18
-15.0;-81.0;5.92732636e+18
-15.0;-75.0;4.21047571316e+18
-15.0;-69.0;2.40210850732e+18
-15.0;-63.0;2.27398532472e+18
-15.0;-57.0;2.266664e+18
-15.0;-51.0;2.266664e+18
-15.0;-45.0;2.266664e+18
-15.0;-39.0;4.005478621e+18
-15.0;-33.0;5.92732636e+18
