latitude,longitude,water_frac,soil_frac,ice_frac
57.0,105.0,0.9,99.1,0.0
57.0,111.0,4.1,95.9,0.0
57.0,117.0,0.1,99.9,0.0
57.0,123.0,0.0,100.0,0.0
57.0,129.0,0.0,100.0,0.0
57.0,135.0,8.3,91.7,0.0
57.0,141.0,68.9,31.1,0.0
57.0,147.0,89.9,10.1,0.0
57.0,153.0,87.8,12.2,0.0
57.0,159.0,27.7,72.3,0.0
57.0,165.0,88.2,11.8,0.0
57.0,171.0,99.9,0.1,0.0
57.0,177.0,100.0,0.0,0.0
51.0,-177.0,98.8,1.2,0.0
51.0,-171.0,99.0,1.0,0.0
51.0,-165.0,98.8,1.2,0.0
51.0,-159.0,100.0,0.0,0.0
51.0,-153.0,100.0,0.0,0.0
51.0,-147.0,100.0,0.0,0.0
51.0,-141.0,100.0,0.0,0.0
51.0,-135.0,97.7,2.3,0.0
51.0,-129.0,70.4,29.6,0.0
51.0,-123.0,9.7,90.3,0.0
51.0,-117.0,1.1,98.9,0.0
51.0,-111.0,0.1,99.9,0.0
51.0,-105.0,1.2,98.8,0.0
51.0,-99.0,15.3,84.7,0.0
51.0,-93.0,6.6,93.4,0.0
51.0,-87.0,9.2,90.8,0.0
51.0,-81.0,19.8,80.2,0.0
51.0,-75.0,4.2,95.8,0.0
51.0,-69.0,10.4,89.6,0.0
51.0,-63.0,31.5,68.5,0.0
51.0,-57.0,44.7,55.3,0.0
51.0,-51.0,98.3,1.7,0.0
51.0,-45.0,100.0,0.0,0.0
51.0,-39.0,100.0,0.0,0.0
51.0,-33.0,100.0,0.0,0.0
51.0,-27.0,100.0,0.0,0.0
51.0,-21.0,100.0,0.0,0.0
51.0,-15.0,100.0,0.0,0.0
51.0,-9.0,78.7,21.3,0.0
51.0,-3.0,49.2,50.8,0.0
51.0,3.0,36.4,63.6,0.0
51.0,9.0,3.7,96.3,0.0
51.0,15.0,0.7,99.3,0.0
51.0,21.0,0.3,99.7,0.0
51.0,27.0,0.1,99.9,0.0
51.0,33.0,1.3,98.7,0.0
51.0,39.0,0.0,100.0,0.0
51.0,45.0,1.5,98.5,0.0
51.0,51.0,1.1,98.9,0.0
51.0,57.0,0.1,99.9,0.0
51.0,63.0,0.9,99.1,0.0
51.0,69.0,0.9,99.1,0.0
51.0,75.0,0.8,99.2,0.0
51.0,81.0,1.5,98.5,0.0
51.0,87.0,0.5,99.5,0.0
51.0,93.0,2.5,97.5,0.0
51.0,99.0,1.3,98.7,0.0
51.0,105.0,6.0,94.0,0.0
51.0,111.0,2.5,97.5,0.0
51.0,117.0,0.9,99.1,0.0
51.0,123.0,0.0,100.0,0.0
51.0,129.0,0.0,100.0,0.0
51.0,135.0,2.1,97.9,0.0
51.0,141.0,35.9,64.1,0.0
51.0,147.0,99.5,0.5,0.0
51.0,153.0,99.0,1.0,0.0
51.0,159.0,80.3,19.7,0.0
51.0,165.0,100.0,0.0,0.0
51.0,171.0,99.6,0.4,0.0
51.0,177.0,99.6,0.4,0.0
45.0,-177.0,100.0,0.0,0.0
45.0,-171.0,100.0,0.0,0.0
45.0,-165.0,100.0,0.0,0.0
45.0,-159.0,100.0,0.0,0.0
45.0,-153.0,100.0,0.0,0.0
45.0,-147.0,100.0,0.0,0.0
45.0,-141.0,100.0,0.0,0.0
45.0,-135.0,100.0,0.0,0.0
45.0,-129.0,100.0,0.0,0.0
45.0,-123.0,31.4,68.6,0.0
45.0,-117.0,0.4,99.6,0.0
45.0,-111.0,0.3,99.7,0.0
45.0,-105.0,0.6,99.4,0.0
45.0,-99.0,1.0,99.0,0.0
45.0,-93.0,4.8,95.2,0.0
45.0,-87.0,35.9,64.1,0.0
45.0,-81.0,27.1,72.9,0.0
45.0,-75.0,6.1,93.9,0.0
45.0,-69.0,31.9,68.1,0.0
45.0,-63.0,72.1,27.9,0.0
45.0,-57.0,92.7,7.3,0.0
45.0,-51.0,96.8,3.2,0.0
45.0,-45.0,100.0,0.0,0.0
45.0,-39.0,100.0,0.0,0.0
45.0,-33.0,100.0,0.0,0.0
45.0,-27.0,100.0,0.0,0.0
45.0,-21.0,100.0,0.0,0.0
45.0,-15.0,100.0,0.0,0.0
45.0,-9.0,87.4,12.6,0.0
45.0,-3.0,54.7,45.3,0.0
45.0,3.0,10.6,89.4,0.0
45.0,9.0,24.0,76.0,0.0
45.0,15.0,27.6,72.4,0.0
45.0,21.0,1.5,98.5,0.0
45.0,27.0,14.5,85.5,0.0
45.0,33.0,64.1,35.9,0.0
45.0,39.0,41.9,58.1,0.0
45.0,45.0,6.5,93.5,0.0
45.0,51.0,50.0,50.0,0.0
45.0,57.0,10.7,89.3,0.0
45.0,63.0,10.7,89.3,0.0
45.0,69.0,0.1,99.9,0.0
45.0,75.0,6.8,93.2,0.0
45.0,81.0,2.8,97.2,0.0
45.0,87.0,0.8,99.2,0.0
45.0,93.0,0.4,99.6,0.0
45.0,99.0,0.2,99.8,0.0
45.0,105.0,0.0,100.0,0.0
45.0,111.0,0.0,100.0,0.0
45.0,117.0,0.4,99.6,0.0
45.0,123.0,0.2,99.8,0.0
45.0,129.0,3.7,96.3,0.0
45.0,135.0,33.1,66.9,0.0
45.0,141.0,72.4,27.6,0.0
45.0,147.0,94.5,5.5,0.0
45.0,153.0,99.6,0.4,0.0
45.0,159.0,100.0,0.0,0.0
45.0,165.0,100.0,0.0,0.0
45.0,171.0,100.0,0.0,0.0
45.0,177.0,100.0,0.0,0.0
39.0,-177.0,100.0,0.0,0.0
39.0,-171.0,100.0,0.0,0.0
39.0,-165.0,100.0,0.0,0.0
39.0,-159.0,100.0,0.0,0.0
39.0,-153.0,100.0,0.0,0.0
39.0,-147.0,100.0,0.0,0.0
39.0,-141.0,100.0,0.0,0.0
39.0,-135.0,100.0,0.0,0.0
39.0,-129.0,100.0,0.0,0.0
39.0,-123.0,45.9,54.1,0.0
39.0,-117.0,0.5,99.5,0.0
39.0,-111.0,1.2,98.8,0.0
39.0,-105.0,0.1,99.9,0.0
39.0,-99.0,0.0,100.0,0.0
39.0,-93.0,0.0,100.0,0.0
39.0,-87.0,1.1,98.9,0.0
39.0,-81.0,3.2,96.8,0.0
39.0,-75.0,45.4,54.6,0.0
39.0,-69.0,97.5,2.5,0.0
39.0,-63.0,100.0,0.0,0.0
39.0,-57.0,100.0,0.0,0.0
39.0,-51.0,100.0,0.0,0.0
